DecimalValue,LoggerId,Time
3.67,206,"2020-12-17 18:13:29.000000"
3.88,149,"2020-12-17 18:13:21.000000"
3.73,165,"2020-12-17 18:13:24.000000"
21.36,130,"2020-12-17 18:12:54.000000"
21.44,112,"2020-12-17 18:13:25.000000"
4.43,110,"2020-12-17 18:13:29.000000"
21.49,180,"2020-12-17 18:13:25.000000"
21.46,158,"2020-12-17 18:13:19.000000"
21.33,181,"2020-12-17 18:14:56.000000"
3.71,206,"2020-12-17 18:15:00.000000"
3.93,149,"2020-12-17 18:14:54.000000"
3.75,165,"2020-12-17 18:14:51.000000"
21.45,112,"2020-12-17 18:14:55.000000"
21.36,154,"2020-12-17 18:14:52.000000"
21.47,158,"2020-12-17 18:14:52.000000"
21.49,161,"2020-12-17 18:14:59.000000"
4.44,110,"2020-12-17 18:14:26.000000"
21.37,130,"2020-12-17 18:14:34.000000"
21.48,180,"2020-12-17 18:14:58.000000"
21.36,154,"2020-12-17 18:15:10.000000"
21.50,161,"2020-12-17 18:15:23.000000"
21.35,181,"2020-12-17 18:15:23.000000"
3.71,206,"2020-12-17 18:15:30.000000"
3.93,149,"2020-12-17 18:15:18.000000"
3.76,165,"2020-12-17 18:15:27.000000"
21.35,130,"2020-12-17 18:15:25.000000"
21.45,112,"2020-12-17 18:15:19.000000"
4.44,110,"2020-12-17 18:15:26.000000"
21.48,180,"2020-12-17 18:15:19.000000"
21.44,158,"2020-12-17 18:15:28.000000"
21.32,181,"2020-12-17 18:20:00.000000"
3.69,206,"2020-12-17 18:19:57.000000"
3.93,149,"2020-12-17 18:19:58.000000"
3.73,165,"2020-12-17 18:19:46.000000"
21.42,112,"2020-12-17 18:19:52.000000"
21.37,154,"2020-12-17 18:18:47.000000"
21.42,158,"2020-12-17 18:19:53.000000"
21.49,161,"2020-12-17 18:19:59.000000"
4.44,110,"2020-12-17 18:19:56.000000"
21.36,130,"2020-12-17 18:19:55.000000"
21.47,180,"2020-12-17 18:19:56.000000"
21.34,154,"2020-12-17 18:21:05.000000"
21.47,161,"2020-12-17 18:21:29.000000"
21.34,181,"2020-12-17 18:21:21.000000"
3.67,206,"2020-12-17 18:21:24.000000"
3.92,149,"2020-12-17 18:21:28.000000"
3.73,165,"2020-12-17 18:21:22.000000"
21.34,130,"2020-12-17 18:21:16.000000"
21.42,112,"2020-12-17 18:21:26.000000"
4.42,110,"2020-12-17 18:21:30.000000"
21.47,180,"2020-12-17 18:21:26.000000"
21.43,158,"2020-12-17 18:21:17.000000"
21.35,154,"2020-12-17 18:23:29.000000"
21.47,161,"2020-12-17 18:23:29.000000"
21.31,181,"2020-12-17 18:23:03.000000"
3.64,206,"2020-12-17 18:23:24.000000"
3.88,149,"2020-12-17 18:23:19.000000"
3.70,165,"2020-12-17 18:23:28.000000"
21.33,130,"2020-12-17 18:23:23.000000"
21.42,112,"2020-12-17 18:23:20.000000"
4.42,110,"2020-12-17 18:23:27.000000"
21.45,180,"2020-12-17 18:23:08.000000"
21.42,158,"2020-12-17 18:23:20.000000"
21.32,181,"2020-12-17 18:24:57.000000"
3.69,206,"2020-12-17 18:24:57.000000"
3.92,149,"2020-12-17 18:24:52.000000"
3.70,165,"2020-12-17 18:24:52.000000"
21.40,112,"2020-12-17 18:24:56.000000"
21.34,154,"2020-12-17 18:24:59.000000"
21.45,158,"2020-12-17 18:24:56.000000"
21.47,161,"2020-12-17 18:25:00.000000"
4.44,110,"2020-12-17 18:24:57.000000"
21.33,130,"2020-12-17 18:24:38.000000"
21.47,180,"2020-12-17 18:24:47.000000"
21.33,154,"2020-12-17 18:25:26.000000"
21.48,161,"2020-12-17 18:25:27.000000"
21.31,181,"2020-12-17 18:25:27.000000"
3.71,206,"2020-12-17 18:25:25.000000"
3.92,149,"2020-12-17 18:25:28.000000"
3.77,165,"2020-12-17 18:25:16.000000"
21.34,130,"2020-12-17 18:25:29.000000"
21.40,112,"2020-12-17 18:25:20.000000"
4.44,110,"2020-12-17 18:25:18.000000"
21.45,180,"2020-12-17 18:25:20.000000"
21.43,158,"2020-12-17 18:25:08.000000"
21.34,154,"2020-12-17 18:27:20.000000"
21.45,161,"2020-12-17 18:27:18.000000"
21.29,181,"2020-12-17 18:27:00.000000"
3.64,206,"2020-12-17 18:27:22.000000"
3.92,149,"2020-12-17 18:27:28.000000"
3.72,165,"2020-12-17 18:27:28.000000"
21.32,130,"2020-12-17 18:27:14.000000"
21.43,112,"2020-12-17 18:27:20.000000"
4.47,110,"2020-12-17 18:27:21.000000"
21.44,180,"2020-12-17 18:27:23.000000"
21.43,158,"2020-12-17 18:27:02.000000"
21.33,154,"2020-12-17 18:29:15.000000"
21.45,161,"2020-12-17 18:29:27.000000"
21.32,181,"2020-12-17 18:29:01.000000"
3.67,206,"2020-12-17 18:28:55.000000"
3.91,149,"2020-12-17 18:29:13.000000"
3.75,165,"2020-12-17 18:29:29.000000"
21.30,130,"2020-12-17 18:29:23.000000"
21.39,112,"2020-12-17 18:29:17.000000"
4.42,110,"2020-12-17 18:29:27.000000"
21.46,180,"2020-12-17 18:29:30.000000"
21.42,158,"2020-12-17 18:29:27.000000"
21.30,181,"2020-12-17 18:29:49.000000"
3.67,206,"2020-12-17 18:29:55.000000"
3.92,149,"2020-12-17 18:29:52.000000"
3.75,165,"2020-12-17 18:29:32.000000"
21.40,112,"2020-12-17 18:29:59.000000"
21.33,154,"2020-12-17 18:29:57.000000"
21.42,158,"2020-12-17 18:30:00.000000"
21.45,161,"2020-12-17 18:29:45.000000"
4.42,110,"2020-12-17 18:29:30.000000"
21.30,130,"2020-12-17 18:29:44.000000"
21.46,180,"2020-12-17 18:30:00.000000"
21.33,154,"2020-12-17 18:31:27.000000"
21.46,161,"2020-12-17 18:31:27.000000"
21.30,181,"2020-12-17 18:31:22.000000"
3.76,206,"2020-12-17 18:31:28.000000"
3.95,149,"2020-12-17 18:31:26.000000"
3.79,165,"2020-12-17 18:31:26.000000"
21.32,130,"2020-12-17 18:31:29.000000"
21.39,112,"2020-12-17 18:31:30.000000"
4.45,110,"2020-12-17 18:31:27.000000"
21.44,180,"2020-12-17 18:31:27.000000"
21.42,158,"2020-12-17 18:31:27.000000"
21.29,181,"2020-12-17 18:34:55.000000"
3.67,206,"2020-12-17 18:34:58.000000"
3.92,149,"2020-12-17 18:34:41.000000"
3.73,165,"2020-12-17 18:34:59.000000"
21.39,112,"2020-12-17 18:34:09.000000"
21.31,154,"2020-12-17 18:34:57.000000"
21.42,158,"2020-12-17 18:34:45.000000"
21.46,161,"2020-12-17 18:34:49.000000"
4.43,110,"2020-12-17 18:34:58.000000"
21.32,130,"2020-12-17 18:34:24.000000"
21.45,180,"2020-12-17 18:34:57.000000"
21.30,154,"2020-12-17 18:35:27.000000"
21.45,161,"2020-12-17 18:35:28.000000"
21.27,181,"2020-12-17 18:35:16.000000"
3.70,206,"2020-12-17 18:35:29.000000"
3.92,149,"2020-12-17 18:35:17.000000"
3.75,165,"2020-12-17 18:35:29.000000"
21.31,130,"2020-12-17 18:35:12.000000"
21.37,112,"2020-12-17 18:35:24.000000"
4.43,110,"2020-12-17 18:35:28.000000"
21.45,180,"2020-12-17 18:35:09.000000"
21.42,158,"2020-12-17 18:34:48.000000"
21.30,154,"2020-12-17 18:39:07.000000"
21.45,161,"2020-12-17 18:39:28.000000"
21.25,181,"2020-12-17 18:39:29.000000"
3.64,206,"2020-12-17 18:39:29.000000"
3.90,149,"2020-12-17 18:39:17.000000"
3.72,165,"2020-12-17 18:39:30.000000"
21.30,130,"2020-12-17 18:39:27.000000"
21.37,112,"2020-12-17 18:39:27.000000"
4.42,110,"2020-12-17 18:39:22.000000"
21.43,180,"2020-12-17 18:39:12.000000"
21.40,158,"2020-12-17 18:39:21.000000"
21.25,181,"2020-12-17 18:39:47.000000"
3.64,206,"2020-12-17 18:39:44.000000"
3.91,149,"2020-12-17 18:39:56.000000"
3.72,165,"2020-12-17 18:39:51.000000"
21.38,112,"2020-12-17 18:39:51.000000"
21.33,154,"2020-12-17 18:39:43.000000"
21.40,158,"2020-12-17 18:39:58.000000"
21.45,161,"2020-12-17 18:39:46.000000"
4.42,110,"2020-12-17 18:39:55.000000"
21.30,130,"2020-12-17 18:39:39.000000"
21.44,180,"2020-12-17 18:39:55.000000"
21.28,154,"2020-12-17 18:41:07.000000"
21.45,161,"2020-12-17 18:41:25.000000"
21.28,181,"2020-12-17 18:40:41.000000"
3.72,206,"2020-12-17 18:41:29.000000"
3.92,149,"2020-12-17 18:41:17.000000"
3.75,165,"2020-12-17 18:41:12.000000"
21.29,130,"2020-12-17 18:41:00.000000"
21.37,112,"2020-12-17 18:41:28.000000"
4.42,110,"2020-12-17 18:41:28.000000"
21.40,180,"2020-12-17 18:41:28.000000"
21.37,158,"2020-12-17 18:41:04.000000"
21.27,181,"2020-12-17 18:44:50.000000"
3.62,206,"2020-12-17 18:44:56.000000"
